# Simulation 6 (Up to date)
# 1058 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.2 m/s)
#
# Time (s),Altitude (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
83.633,2559.196
84.133,2547.98
84.633,2536.771
85.133,2525.568
85.633,2514.371
86.133,2503.18
86.633,2491.995
87.133,2480.817
87.633,2469.645
88.133,2458.48
88.633,2447.321
89.133,2436.168
89.633,2425.022
90.133,2413.882
90.633,2402.749
91.133,2391.623
91.633,2380.503
92.133,2369.389
92.633,2358.281
93.133,2347.18
93.633,2336.085
94.133,2324.997
94.633,2313.914
95.133,2302.838
95.633,2291.769
96.133,2280.705
96.633,2269.648
97.133,2258.597
97.633,2247.552
98.133,2236.514
98.633,2225.481
99.133,2214.455
99.633,2203.434
100.133,2192.42
100.633,2181.412
101.133,2170.41
101.633,2159.414
102.133,2148.424
102.633,2137.44
103.133,2126.463
103.633,2115.493
104.133,2104.527
104.633,2093.569
105.133,2082.616
105.633,2071.669
106.133,2060.727
106.633,2049.791
107.133,2038.861
107.633,2027.936
108.133,2017.018
108.633,2006.105
109.133,1995.198
109.633,1984.297
110.133,1973.402
110.633,1962.513
111.133,1951.63
111.633,1940.753
112.133,1929.882
112.633,1919.017
113.133,1908.159
113.633,1897.306
114.133,1886.46
114.633,1875.62
115.133,1864.785
115.633,1853.957
116.133,1843.134
116.633,1832.318
117.133,1821.507
117.633,1810.702
118.133,1799.903
118.633,1789.11
119.133,1778.323
119.633,1767.541
120.133,1756.766
120.633,1745.996
121.133,1735.232
121.633,1724.474
122.133,1713.721
122.633,1702.974
123.133,1692.233
123.633,1681.498
124.133,1670.769
124.633,1660.045
125.133,1649.327
125.633,1638.614
126.133,1627.907
126.633,1617.206
127.133,1606.511
127.633,1595.821
128.133,1585.136
128.633,1574.457
129.133,1563.784
129.633,1553.116
130.133,1542.454
130.633,1531.798
131.133,1521.147
131.633,1510.501
132.133,1499.861
132.633,1489.226
133.133,1478.597
133.633,1467.973
134.133,1457.356
134.633,1446.743
135.133,1436.137
135.633,1425.537
136.133,1414.942
136.633,1404.353
137.133,1393.769
137.633,1383.191
138.133,1372.619
138.633,1362.052
139.133,1351.491
139.633,1340.936
140.133,1330.386
140.633,1319.842
141.133,1309.303
141.633,1298.77
142.133,1288.242
142.633,1277.72
143.133,1267.203
143.633,1256.692
144.133,1246.187
144.633,1235.686
145.133,1225.191
145.633,1214.702
146.133,1204.218
146.633,1193.74
147.133,1183.267
147.633,1172.799
148.133,1162.336
148.633,1151.879
149.133,1141.428
149.633,1130.982
150.133,1120.54
150.633,1110.104
151.133,1099.674
151.633,1089.248
152.133,1078.829
152.633,1068.414
153.133,1058.005
153.633,1047.601
154.133,1037.202
154.633,1026.808
155.133,1016.42
155.633,1006.037
156.133,995.658
156.633,985.285
157.133,974.917
157.633,964.555
158.133,954.197
158.633,943.845
159.133,933.499
159.633,923.158
160.133,912.822
160.633,902.491
161.133,892.166
161.633,881.846
162.133,871.531
162.633,861.222
163.133,850.918
163.633,840.619
164.133,830.326
164.633,820.037
165.133,809.754
165.633,799.477
166.133,789.204
166.633,778.937
167.133,768.675
167.633,758.418
168.133,748.166
168.633,737.919
169.133,727.677
169.633,717.441
170.133,707.209
170.633,696.983
171.133,686.761
171.633,676.545
172.133,666.334
172.633,656.128
173.133,645.926
173.633,635.73
174.133,625.539
174.633,615.353
175.133,605.172
175.633,594.996
176.133,584.824
176.633,574.658
177.133,564.496
177.633,554.34
178.133,544.188
178.633,534.041
179.133,523.9
179.633,513.762
180.133,503.63
180.633,493.503
181.133,483.38
181.633,473.263
182.133,463.151
182.633,453.043
183.133,442.941
183.633,432.844
184.133,422.752
184.633,412.665
185.133,402.583
185.633,392.506
186.133,382.434
186.633,372.367
187.133,362.304
187.633,352.247
188.133,342.196
188.633,332.149
189.133,322.106
189.633,312.069
190.133,302.037
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=190.134 seconds
190.633,292.009
190.64,291.875
190.641,291.843
190.643,291.809
190.645,291.774
190.647,291.739
190.649,291.703
190.651,291.667
190.653,291.631
190.655,291.593
190.657,291.555
190.659,291.517
190.661,291.478
190.663,291.438
190.665,291.398
190.668,291.357
190.67,291.315
190.672,291.273
190.675,291.23
190.677,291.186
190.68,291.141
190.683,291.095
190.685,291.049
190.688,291.002
190.691,290.953
190.694,290.904
190.697,290.854
190.7,290.803
190.704,290.751
190.707,290.697
190.71,290.642
190.714,290.587
190.718,290.529
190.721,290.471
190.725,290.411
190.73,290.349
190.734,290.286
190.738,290.222
190.743,290.156
190.747,290.087
190.752,290.017
190.757,289.945
190.763,289.871
190.768,289.795
190.774,289.716
190.78,289.634
190.787,289.55
190.793,289.463
190.8,289.373
190.808,289.279
190.815,289.182
190.824,289.081
190.832,288.976
190.841,288.866
190.851,288.751
190.862,288.631
190.873,288.504
190.885,288.371
190.897,288.231
190.911,288.082
190.926,287.925
190.942,287.757
190.96,287.577
190.979,287.384
191.001,287.176
191.024,286.95
191.051,286.704
191.081,286.432
191.115,286.129
191.155,285.791
191.2,285.411
191.256,284.958
191.325,284.418
191.408,283.784
191.512,283.011
191.665,281.91
191.912,280.179
192.377,276.984
192.877,273.563
193.377,270.137
193.877,266.713
194.377,263.29
194.877,259.867
195.377,256.446
195.877,253.026
196.377,249.604
196.877,246.184
197.377,242.764
197.877,239.345
198.377,235.927
198.877,232.508
199.377,229.09
199.877,225.672
200.377,222.255
200.877,218.839
201.377,215.423
201.877,212.008
202.377,208.594
202.877,205.18
203.377,201.768
203.877,198.355
204.377,194.942
204.877,191.53
205.377,188.119
205.877,184.708
206.377,181.298
206.877,177.888
207.377,174.479
207.877,171.071
208.377,167.663
208.877,164.255
209.377,160.848
209.877,157.441
210.377,154.035
210.877,150.63
211.377,147.225
211.877,143.821
212.377,140.418
212.877,137.016
213.377,133.614
213.877,130.212
214.377,126.811
214.877,123.41
215.377,120.009
215.877,116.61
216.377,113.211
216.877,109.813
217.377,106.417
217.78,103.679
218.28,100.282
218.78,96.886
219.28,93.49
219.78,90.095
220.28,86.7
220.78,83.305
221.28,79.911
221.78,76.519
222.28,73.126
222.78,69.734
223.28,66.342
223.78,62.952
224.28,59.562
224.78,56.172
225.28,52.784
225.78,49.396
226.28,46.008
226.78,42.62
227.28,39.233
227.78,35.846
228.28,32.459
228.78,29.073
229.28,25.689
229.78,22.304
230.28,18.92
230.78,15.536
231.28,12.156
231.78,8.775
232.28,5.393
232.78,2.014
# Event GROUND_HIT occurred at t=233.078 seconds
# Event SIMULATION_END occurred at t=233.078 seconds
233.078,0
